,title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,date
121,carrie & lowell,sufjan stevens,7.0,2015-03-24,9.3,1.0,brandon stosuy,2015-03-30,64xtjfsPHNHch0CZ7fPTjS,238508.0909090909,59.45454545454545,0.4629090909090909,0.9668181818181818,0.14573636363636364,0.19172294272727272,0.13518181818181818,-21.78772727272727,0.04027272727272727,1427760000.0
122,celebration rock,japandroids,5.0,2012-06-05,8.8,1.0,ian cohen,2012-05-29,2sY9WYVH022ulyAYaqvXLW,264126.75,33.25,0.2464,0.00074195625,0.978125,0.14130957,0.273675,-3.7116249999999997,0.1324875,1338854400.0
123,celestial lineage,wolves in the throne room,6.0,2011-09-12,8.6,1.0,brandon stosuy,2011-09-23,3LHSxySCaooKrQxuLtuYSV,419304.28571428574,20.714285714285715,0.11064285714285714,0.15538302285714287,0.5591428571428572,0.6812857142857143,0.27195714285714284,-12.460714285714285,0.0579,1315872000.0
124,celestite,wolves in the throne room,8.0,2014-07-15,4.7,0.0,grayson haver currin,2014-07-10,3CZ1efJZ8G1hDBETkFuoxw,552816.0,21.0,0.10018,0.35206,0.379,0.8326,0.17836000000000002,-14.127199999999998,0.037660000000000006,1404777600.0
125,centipede hz,animal collective,6.0,2012-09-05,7.4,0.0,stuart berman,2012-09-04,1XtUILwRT4o8Yyl0m8USSK,292444.45454545453,21.818181818181817,0.46699999999999997,0.07166154545454545,0.8857272727272728,0.08257885454545455,0.43900000000000006,-6.498454545454546,0.1362727272727273,1346716800.0
126,cerebral ballzy,cerebral ballzy,3.0,2011-08-11,4.8,0.0,david raposa,2011-09-29,5hGl0kNVr8DKZUMbJqZcES,98067.41666666667,10.5,0.2545,0.0011239991666666667,0.98225,0.0025593416666666664,0.24975,-4.563,0.210375,1312675200.0
127,cerulean,baths,8.0,2010-07-21,8.2,0.0,ian cohen,2010-07-09,207dovplLKyzKkCcopO9Hl,231809.2142857143,4.785714285714286,0.5143571428571428,0.26698714285714287,0.6385,0.3855095214285714,0.2736071428571428,-8.888428571428571,0.16655714285714285,1308096000.0
128,channel orange,frank ocean,7.0,2012-07-11,9.5,1.0,ryan dombal,2012-07-12,392p3shh2jkxUxY2VHvlH8,196908.88235294117,62.23529411764706,0.5468823529411765,0.39938235294117647,0.48314117647058824,0.1612211017647059,0.2726764705882353,-10.392588235294118,0.1434764705882353,1341878400.0
129,circuital,my morning jacket,5.0,2011-05-31,7.2,0.0,amanda petrusich,2011-05-31,2ee3xMjrF3jNRAw3FsqwJb,270605.1,26.9,0.46769999999999995,0.31274100000000005,0.5496,0.094839498,0.13124,-8.3433,0.031830000000000004,1307318400.0
130,citizen zombie,the pop group,9.0,2015-02-24,2.4,0.0,stephen m. deusner,2015-02-26,1as5fPtHaDlvlvsR5LtdCj,223140.66666666666,0.25,0.5135,0.029745583333333336,0.7958333333333334,0.11780366666666668,0.267975,-7.464833333333334,0.07733333333333332,1424822400.0
131,city sun eater in the river of light,woods,7.0,2016-07-12,7.6,0.0,evan rytlewski,2016-04-07,1LGBxdl9JbgEn0cuaVJRUY,254286.5,32.8,0.6148,0.15577000000000002,0.6700999999999999,0.17548678,0.14552,-6.6534,0.033229999999999996,1460073600.0
