,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
116,Homicide,36 Seasons,Ghostface Killah,2014-12-09,201137,20,0.598,0.00923,0.598,0.8,0.000176,0.166,-5.073,0.0375,92.516,4
117,Blood in the Streets,36 Seasons,Ghostface Killah,2014-12-09,123948,23,0.717,0.00179,0.717,0.78,0.0,0.223,-5.669,0.168,100.455,4
118,Call My Name,36 Seasons,Ghostface Killah,2014-12-09,131337,17,0.634,0.01,0.634,0.754,0.0,0.144,-4.859,0.212,91.001,4
119,I Love You For All Seasons,36 Seasons,Ghostface Killah,2014-12-09,140248,18,0.468,0.000388,0.468,0.38,0.836,0.0556,-11.446,0.0248,76.525,4
120,For Whom The Bell Tolls,4 Your Eyez Only,J. Cole,2016-12-09,127880,60,0.595,0.536,0.595,0.416,0.0,0.293,-10.957,0.0366,74.556,4
121,Immortal,4 Your Eyez Only,J. Cole,2016-12-09,201666,67,0.744,0.455,0.744,0.43,2.73e-06,0.126,-10.604,0.309,92.039,4
122,Deja Vu,4 Your Eyez Only,J. Cole,2016-12-09,264746,73,0.657,0.352,0.657,0.421,0.000218,0.187,-11.378,0.412,174.063,4
123,Ville Mentality,4 Your Eyez Only,J. Cole,2016-12-09,194346,65,0.87,0.745,0.87,0.386,0.00013,0.122,-7.843,0.0684,119.91,3
124,She's Mine Pt. 1,4 Your Eyez Only,J. Cole,2016-12-09,209080,68,0.439,0.766,0.439,0.204,0.0913,0.284,-15.165,0.0587,139.652,4
125,Change,4 Your Eyez Only,J. Cole,2016-12-09,331480,68,0.74,0.666,0.74,0.523,0.00142,0.0968,-10.753,0.233,97.063,4
126,Neighbors,4 Your Eyez Only,J. Cole,2016-12-09,216520,75,0.898,0.319,0.898,0.283,0.000383,0.11,-12.335,0.356,138.97,4
127,Foldin Clothes,4 Your Eyez Only,J. Cole,2016-12-09,316920,59,0.698,0.234,0.698,0.487,0.00086,0.0724,-9.887,0.312,161.943,4
128,She's Mine Pt. 2,4 Your Eyez Only,J. Cole,2016-12-09,278920,65,0.486,0.798,0.486,0.194,0.00624,0.114,-15.265,0.0712,70.031,4
129,4 Your Eyez Only,4 Your Eyez Only,J. Cole,2016-12-09,530253,68,0.701,0.367,0.701,0.485,6.31e-05,0.0852,-10.305,0.364,78.863,4
130,Snowflake,50 Words For Snow,Kate Bush,2011-11-22,586693,27,0.334,0.955,0.334,0.0671,0.647,0.0977,-25.672,0.0402,110.657,4
131,Lake Tahoe,50 Words For Snow,Kate Bush,2011-11-22,668120,23,0.284,0.92,0.284,0.0677,0.512,0.128,-21.294,0.0329,107.337,4
132,Misty,50 Words For Snow,Kate Bush,2011-11-22,812133,21,0.467,0.84,0.467,0.165,0.233,0.111,-18.988,0.0337,132.389,4
133,Wild Man,50 Words For Snow,Kate Bush,2011-11-22,436560,20,0.774,0.191,0.774,0.288,0.379,0.351,-17.092,0.0505,128.629,4
134,Snowed In At Wheeler Street,50 Words For Snow,Kate Bush,2011-11-22,485053,21,0.635,0.959,0.635,0.142,0.119,0.0508,-17.352,0.0376,106.233,4
135,50 Words For Snow,50 Words For Snow,Kate Bush,2011-11-22,510880,21,0.538,0.312,0.538,0.615,0.757,0.428,-19.382,0.0481,197.67,4
136,Among Angels,50 Words For Snow,Kate Bush,2011-11-22,408640,19,0.23,0.992,0.23,0.0525,0.147,0.115,-20.299,0.0464,170.126,4
137,Easy Easy,6 Feet Beneath The Moon,King Krule,2013-08-24,169693,53,0.566,0.838,0.566,0.408,1.04e-05,0.108,-8.972,0.036,146.61,4
138,Border Line,6 Feet Beneath The Moon,King Krule,2013-08-24,185853,53,0.642,0.522,0.642,0.549,0.000116,0.0764,-8.303,0.0996,99.906,4
139,Has This Hit?,6 Feet Beneath The Moon,King Krule,2013-08-24,266293,38,0.337,0.526,0.337,0.574,0.0,0.697,-8.475,0.0541,131.284,4
140,Foreign 2,6 Feet Beneath The Moon,King Krule,2013-08-24,219266,40,0.683,0.631,0.683,0.689,0.226,0.17,-8.918,0.127,126.943,4
141,Ceiling,6 Feet Beneath The Moon,King Krule,2013-08-24,175973,37,0.595,0.276,0.595,0.802,0.00544,0.548,-8.439,0.0654,97.973,4
142,Baby Blue,6 Feet Beneath The Moon,King Krule,2013-08-24,215506,59,0.461,0.613,0.461,0.331,0.00104,0.129,-11.03,0.0359,102.488,4
143,Cementality,6 Feet Beneath The Moon,King Krule,2013-08-24,223906,39,0.42,0.869,0.42,0.187,0.000198,0.165,-13.064,0.0514,113.665,3
144,A Lizard State,6 Feet Beneath The Moon,King Krule,2013-08-24,259746,43,0.539,0.0543,0.539,0.717,0.0,0.683,-7.373,0.178,146.885,4
145,Will I Come,6 Feet Beneath The Moon,King Krule,2013-08-24,114986,37,0.649,0.674,0.649,0.462,0.0509,0.169,-10.519,0.112,100.446,4
146,Ocean Bed,6 Feet Beneath The Moon,King Krule,2013-08-24,211453,40,0.411,0.689,0.411,0.425,2.14e-05,0.177,-8.595,0.0389,118.972,4
147,Neptune Estate,6 Feet Beneath The Moon,King Krule,2013-08-24,312973,40,0.652,0.728,0.652,0.657,0.000263,0.276,-7.096,0.233,79.97,4
148,The Krockadile,6 Feet Beneath The Moon,King Krule,2013-08-24,291613,37,0.439,0.548,0.439,0.785,0.0,0.0968,-7.819,0.214,102.923,4
149,Out Getting Ribs,6 Feet Beneath The Moon,King Krule,2013-08-24,256000,54,0.509,0.619,0.509,0.403,0.000496,0.383,-9.862,0.0299,117.241,4
150,Bathed In Grey,6 Feet Beneath The Moon,King Krule,2013-08-24,241879,36,0.619,0.909,0.619,0.322,0.000104,0.0636,-12.268,0.143,82.092,4
151,Necessary,90059,Jay Rock,2015-09-11,200720,36,0.589,0.0705,0.589,0.6,0.0,0.343,-8.198,0.295,84.637,4
152,Easy Bake (feat. Kendrick Lamar & SZA),90059,Jay Rock,2015-09-11,291812,48,0.566,0.357,0.566,0.586,0.0,0.425,-6.741,0.827,174.262,4
153,Gumbo,90059,Jay Rock,2015-09-11,243247,44,0.638,0.278,0.638,0.778,4.4e-06,0.67,-8.292,0.251,101.042,4
154,Wanna Ride (feat. Isaiah Rashad),90059,Jay Rock,2015-09-11,246840,39,0.644,0.14,0.644,0.523,0.0,0.0784,-8.16,0.308,143.119,3
155,The Ways (feat. Sir),90059,Jay Rock,2015-09-11,275219,38,0.649,0.159,0.649,0.436,6.02e-06,0.314,-8.401,0.336,82.201,4
156,Telegram (Going Krazy) [feat. Lance Skiiiwalker],90059,Jay Rock,2015-09-11,240303,33,0.493,0.687,0.493,0.683,0.0146,0.0905,-7.639,0.211,87.938,4
157,90059,90059,Jay Rock,2015-09-11,240931,31,0.543,0.047,0.543,0.836,0.0,0.746,-7.043,0.405,92.998,4
158,Vice City (feat. Black Hippy),90059,Jay Rock,2015-09-11,283751,57,0.844,0.156,0.844,0.553,1.32e-06,0.0816,-7.284,0.356,114.939,4
159,Fly on the Wall (feat. Busta Rhymes & Macy Gray),90059,Jay Rock,2015-09-11,279010,38,0.725,0.432,0.725,0.582,0.0,0.0815,-6.885,0.368,88.491,4
160,Money Trees Deuce (feat. Lance Skiiiwalker),90059,Jay Rock,2015-09-11,321045,41,0.738,0.114,0.738,0.661,5.89e-06,0.165,-7.429,0.0454,138.034,4
161,The Message,90059,Jay Rock,2015-09-11,241567,30,0.529,0.0526,0.529,0.847,0.0,0.0921,-6.957,0.432,78.904,4
162,93 Million Miles,93 Million Miles,Africa HiTech,2011-05-09,395840,0,0.691,0.053,0.691,0.866,0.84,0.113,-7.206,0.0511,142.065,4
163,Do U Wanna Fight,93 Million Miles,Africa HiTech,2011-05-09,220746,0,0.737,0.0817,0.737,0.769,0.143,0.108,-6.408,0.292,160.038,4
164,Out In the Streets,93 Million Miles,Africa HiTech,2011-05-09,312080,2,0.547,0.00436,0.547,0.909,0.0354,0.201,-6.1,0.0455,120.335,3
165,Future Moves,93 Million Miles,Africa HiTech,2011-05-09,208720,0,0.717,0.0224,0.717,0.993,0.33,0.93,-6.763,0.0712,141.982,4
166,Glangslap,93 Million Miles,Africa HiTech,2011-05-09,296426,0,0.717,7.33e-05,0.717,0.831,0.873,0.0585,-9.806,0.0572,141.013,4
167,Our Luv,93 Million Miles,Africa HiTech,2011-05-09,517933,0,0.713,0.000293,0.713,0.666,0.873,0.2,-9.356,0.0582,114.001,4
168,Spirit,93 Million Miles,Africa HiTech,2011-05-09,355693,0,0.79,0.0917,0.79,0.747,0.726,0.0909,-11.385,0.152,142.013,4
169,Light the Way,93 Million Miles,Africa HiTech,2011-05-09,296506,0,0.56,0.00789,0.56,0.842,0.443,0.104,-6.864,0.0504,75.0,4
170,Footstep,93 Million Miles,Africa HiTech,2011-05-09,336240,0,0.742,0.00036,0.742,0.606,0.263,0.209,-9.01,0.205,160.008,4
171,Cyclic Sun,93 Million Miles,Africa HiTech,2011-05-09,282893,0,0.68,0.871,0.68,0.674,0.931,0.0529,-9.929,0.0516,140.007,4
172,Don’t Fight It,93 Million Miles,Africa HiTech,2011-05-09,300680,0,0.652,0.302,0.652,0.834,0.895,0.096,-6.41,0.0485,180.018,3
173,TRACK UNO,99.9%,KAYTRANADA,2016-05-06,344120,51,0.843,0.0126,0.843,0.448,0.000944,0.0826,-10.398,0.316,119.564,4
174,BUS RIDE,99.9%,KAYTRANADA,2016-05-06,133346,52,0.657,0.00994,0.657,0.438,0.932,0.112,-8.587,0.0482,82.075,4
175,GOT IT GOOD,99.9%,KAYTRANADA,2016-05-06,228146,61,0.551,0.0475,0.551,0.503,0.0,0.116,-6.678,0.17,80.266,4
